id,name,address,city,state,zip,phone,LAT,LON,hasSpecialties,ADDICTION MEDICINE,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,ALLERGY/IMMUNOLOGY,ANESTHESIOLOGY,ANESTHESIOLOGY ASSISTANT,AUDIOLOGIST,CARDIAC ELECTROPHYSIOLOGY,CARDIAC SURGERY,CARDIOVASCULAR DISEASE (CARDIOLOGY),CERTIFIED NURSE MIDWIFE,CERTIFIED REGISTERED NURSE ANESTHETIST,CHIROPRACTIC,CLINICAL NURSE SPECIALIST,CLINICAL PSYCHOLOGIST,CLINICAL SOCIAL WORKER,COLORECTAL SURGERY (PROCTOLOGY),CRITICAL CARE (INTENSIVISTS),DENTIST,DERMATOLOGY,DIAGNOSTIC RADIOLOGY,EMERGENCY MEDICINE,ENDOCRINOLOGY,FAMILY PRACTICE,GASTROENTEROLOGY,GENERAL PRACTICE,GENERAL SURGERY,GERIATRIC MEDICINE,GERIATRIC PSYCHIATRY,GYNECOLOGICAL ONCOLOGY,HAND SURGERY,HEMATOLOGY,HEMATOLOGY/ONCOLOGY,HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR TH,HOSPICE/PALLIATIVE CARE,HOSPITALIST,INFECTIOUS DISEASE,INTERNAL MEDICINE,INTERVENTIONAL CARDIOLOGY,INTERVENTIONAL PAIN MANAGEMENT,INTERVENTIONAL RADIOLOGY,MAXILLOFACIAL SURGERY,MEDICAL ONCOLOGY,NEPHROLOGY,NEUROLOGY,NEUROPSYCHIATRY,NEUROSURGERY,NUCLEAR MEDICINE,NURSE PRACTITIONER,OBSTETRICS/GYNECOLOGY,OCCUPATIONAL THERAPY,OPHTHALMOLOGY,OPTOMETRY,ORAL SURGERY,ORTHOPEDIC SURGERY,OSTEOPATHIC MANIPULATIVE MEDICINE,OTOLARYNGOLOGY,PAIN MANAGEMENT,PATHOLOGY,PEDIATRIC MEDICINE,PERIPHERAL VASCULAR DISEASE,PHYSICAL MEDICINE AND REHABILITATION,PHYSICAL THERAPY,PHYSICIAN ASSISTANT,PLASTIC AND RECONSTRUCTIVE SURGERY,PODIATRY,PREVENTATIVE MEDICINE,PSYCHIATRY,PULMONARY DISEASE,RADIATION ONCOLOGY,REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,"RHEUMATOLOGY,",SLEEP MEDICINE,SPEECH LANGUAGE PATHOLOGIST,SPORTS MEDICINE,SURGICAL ONCOLOGY,THORACIC SURGERY,UNDEFINED PHYSICIAN TYPE (SPECIFY),"UROLOGY,",VASCULAR SURGERY,id
248,Doomadgee Hospital,Sharpe Street,Doomadgee,Qld,4830,07 4745 8800,-17.942527,138.825267,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30247
249,Dorrigo Multi Purpose Service,14 Beech Street,Dorrigo,NSW,2453,02 6692 7700,-30.340625,152.713882,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30248
250,Dorset Rehabilitation Centre,146 Derby Street,Pascoe Vale,Vic,3044,03 8371 9477,-37.723402,144.947436,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30249
251,Dubbo Hospital,Myall Street,Dubbo,NSW,2830,02 6809 6809,-32.239339,148.620772,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30250
252,Dudley-Orange Private Hospital,261 March Street,Orange,NSW,2800,02 6362 8122,-33.282219,149.121236,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30251
253,Dumbleyung Memorial Hospital,Mcintyre Street,Dumbleyung,WA,6350,08 9863 5222,-33.310409,117.740499,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30252
254,Dunedoo Multi Purpose Service,70 Digilah Street,Dunedoo,NSW,2844,02 6370 3000,-32.017204,149.397366,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30253
255,Dungog Hospital,58 Hospital Road,Dungog,NSW,2420,02 4995 7000,-32.401948,151.746157,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30254
256,Dysart Hospital,Queen Elizabeth Drive,Dysart,Qld,4745,07 4941 1911,-22.582729,148.353044,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30255
257,East Grampians Health Service [Ararat],Lot 5B Girdlestone Street,Ararat,Vic,3377,03 5352 9300,-37.278816,142.932858,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30256
258,East Grampians Health Service [Willaura],Delacombe Way,Willaura,Vic,3379,03 5354 1600,-37.544798,142.74587,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30257
259,East Wimmera Health Service [Birchip],26 Duncan Street,Birchip,Vic,3483,03 5477 7100,-35.980167,142.915891,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30258
260,East Wimmera Health Service [Charlton],4 Menzies Street,Charlton,Vic,3525,03 5477 6800,-36.271037,143.345889,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30259
261,East Wimmera Health Service [Donald],7 Aitken Avenue,Donald,Vic,3480,03 5478 6200,-36.366895,142.976583,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30260
262,East Wimmera Health Service [St Arnaud],52 North Western Road,St Arnaud,Vic,3478,03 5477 2100,-36.609275,143.246676,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30261
263,East Wimmera Health Service [Wycheproof],19 Grandview Street,Wycheproof,Vic,3527,03 5478 0700,-36.078447,143.233779,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30262
264,Eastern Heart Clinic,"Level 3, Campus Centre Building, Prince of Wales Hospital, Barker Street",Randwick,NSW,2031,02 9382 0700,-33.920616,151.237986,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30263
265,Echuca Regional Health,9-27 Francis Street,Echuca,Vic,3564,03 5485 5000,-36.138186,144.748369,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30264
266,Edenhope and District Memorial Hospital,128-134 Elizabeth Street,Edenhope,Vic,3318,03 5585 9800,-37.035323,141.288829,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30265
267,Eidsvold Hospital,Cracow Road,Eidsvold,Qld,4627,07 4165 7100,-25.382639,151.125494,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30266
268,Ellen Barron Family Centre,Hamilton Road,Chermside,Qld,4032,07 3139 6500,-27.385905,153.025152,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30267
269,Elliston Hospital,6 Memorial Terrace,Elliston,SA,5670,08 8687 9001,-33.647912,134.892443,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30268
270,Emerald Hospital,69 Hospital Road,Emerald,Qld,4720,07 4987 9400,-23.514826,148.154989,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30269
271,Epping Surgery Centre,"Suite 3, Oxford Place, 44-46 Oxford Street",Epping,NSW,2121,02 9868 6555,-33.771132,151.083676,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30270
272,Epworth Cliveden,29 Simpson Street,East Melbourne,Vic,3002,03 9419 7122,-37.815662,144.987547,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30271
273,Epworth Eastern,1 Arnold Street,Box Hill,Vic,3128,03 8807 7100,-37.814678,145.119368,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30272
274,Epworth Freemasons [Clarendon Street],166 Clarendon Street,East Melbourne,Vic,3002,03 9483 3833,-37.810694,144.984107,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30273
275,Epworth Freemasons [Victoria Parade],320 Victoria Parade,East Melbourne,Vic,3002,03 9418 8188,-37.809284,144.98212,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30274
276,Epworth Geelong,1 Epworth Place,Waurn Ponds,Vic,3216,03 5271 7777,-38.193882,144.302472,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30275
277,Epworth Hawthorn,50 Burwood Road,Hawthorn,Vic,3122,03 9415 5777,-37.821229,145.023405,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30276
278,Epworth Rehabilitation Brighton,85 Wilson Street,Brighton,Vic,3186,03 9591 9200,-37.913689,145.002815,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30277
279,Epworth Rehabilitation Camberwell,888 Toorak Road,Camberwell,Vic,3124,03 9809 2444,-37.846223,145.054689,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30278
280,Epworth Rehabilitation Richmond,89 Bridge Road,Richmond,Vic,3121,03 9426 6666,-37.817419,144.993503,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30279
281,Epworth Richmond,89 Bridge Road,Richmond,Vic,3121,03 9426 6666,-37.817433,144.993029,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30280
282,Esk Hospital,30 Highland Street,Esk,Qld,4312,07 5424 4600,-27.240398,152.418179,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30281
283,Esperance Hospital,Hicks Street,Esperance,WA,6450,08 9071 0888,-33.856188,121.892205,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30282
284,Esperance Multi Purpose Centre,Chapman Avenue,Dover,Tas,7117,03 6298 9200,-43.314749,147.016209,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30283
285,Essendon Private Hospital,35 Rosehill Road,West Essendon,Vic,3040,03 9337 9577,-37.748597,144.885403,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30284
286,Eudunda Hospital,40 Ward Street,Eudunda,SA,5374,08 8566 2007,-34.175482,139.090586,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30285
287,Eugowra Multipurpose Service,Cooper Street,Eugowra,NSW,2806,02 6850 4000,-33.424421,148.366799,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30286
288,Exmouth Hospital,Lyon Street,Exmouth,WA,6707,08 9949 3666,-21.928276,114.119882,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30287
289,Eye-Tech Day Surgeries,"Level 5, St Andrews Place, 33 North Street",Spring Hill,Qld,4000,07 3831 4244,-27.461026,153.021898,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30288
290,Eye-Tech Day Surgeries Southside,22-26 Sanders Street,Upper Mt Gravatt,Qld,4122,07 3420 2666,-27.557642,153.082042,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30289
291,Fairfield Hospital,Corner of Polding Street and Prairie Vale Road,Prairiewood,NSW,2176,02 9616 8111,-33.860117,150.904339,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30290
292,Figtree Private Hospital,1 Suttor Place,Figtree,NSW,2525,02 4255 5000,-34.440199,150.851024,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30291
293,Finley Hospital,20-22 Dawe Avenue,Finley,NSW,2713,03 5883 1133,-35.641725,145.568139,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30292
294,Fiona Stanley Hospital,11 Robin Warren Drive,Murdoch,WA,6150,08 6152 2222,-32.07012,115.846909,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30293
295,Fitzroy Crossing Hospital,Fallon Road,Fitzroy Crossing,WA,6765,08 9166 1777,-18.191439,125.562765,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30294
296,Flinders Island Multi Purpose Centre,James Street,Whitemark,Tas,7255,03 6359 2122,-40.121173,148.017059,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30295
297,Flinders Medical Centre,Flinders Drive,Bedford Park,SA,5042,08 8204 5511,-35.022229,138.569439,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30296
298,Flinders Private Hospital,1 Flinders Drive,Bedford Park,SA,5042,08 8275 3333,-35.020629,138.568089,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30297
299,Forster Private Hospital,29-41 South Street,Forster,NSW,2428,02 6555 1333,-32.188561,152.514079,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30298
300,Frances Perry House,"Levels 6 and 7, Corner of Grattan Street and Flemington Road",Parkville,Vic,3052,03 9344 5000,-37.798758,144.955135,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30299
301,Frankston Hospital,2 Hastings Road,Frankston,Vic,3199,03 9784 7777,-38.150791,145.128428,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30300
302,Frankston Private Hospital,24-28 Frankston Flinders Road,Frankston,Vic,3199,03 8796 1300,-38.154662,145.132902,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30301
303,Fremantle Hospital,Alma Street,Fremantle,WA,6160,08 9431 3333,-32.058263,115.751448,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30302
304,Friendly Society Private Hospital,19-23 Bingera Street,Bundaberg,Qld,4670,07 4331 1000,-24.870831,152.3429,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30303
305,Fullarton Private Hospital,293-295 Fullarton Road,Parkside,SA,5063,08 8272 0233,-34.949265,138.624852,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30304
306,Gatton Hospital,97-103 William Street,Gatton,Qld,4343,07 5468 4188,-27.566778,152.276269,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30305
307,Gawler Health Service,21 Hutchinson Road,Gawler East,SA,5118,08 8521 2000,-34.593743,138.755044,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30306
308,Gayndah Hospital,69 Warton Street,Gayndah,Qld,4625,07 4161 3500,-25.631384,151.604531,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30307
309,George Town Hospital and Community Health Centre,47 Anne Street,George Town,Tas,7253,03 6702 6020,-41.103782,146.821149,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30308
310,Geraldton Hospital,51-85 Shenton Street,Geraldton,WA,6530,08 9956 2222,-28.782808,114.610844,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30309
311,Gilgandra Multi Purpose Service,6 Chelmsford Avenue,Gilgandra,NSW,2827,02 6880 5900,-31.704565,148.664889,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30310
312,Gin Gin Hospital,5 King Street,Gin Gin,Qld,4671,07 4157 2222,-24.985707,151.953449,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30311
313,Gippsland Southern Health Service - Korumburra,69-75 Bridge Street,Korumburra,Vic,3950,03 5654 2777,-38.430328,145.828249,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30312
314,Gippsland Southern Health Service - Leongatha,66 Koonawarra Road,Leongatha,Vic,3953,03 5667 5555,-38.487171,145.950343,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30313
315,Gladstone Hospital,Park Street,Gladstone,Qld,4680,07 4976 3200,-23.850654,151.248532,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30314
316,Glen Eira Day Surgery,544 Hawthorn Road,Caulfield South,Vic,3162,03 9595 6600,-37.900377,145.019265,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30315
317,Glen Innes Hospital,94 Taylor Street,Glen Innes,NSW,2370,02 6739 0200,-29.733293,151.731673,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30316
318,Glenelg Community Hospital Inc,5 Farrell Street,Glenelg South,SA,5045,08 8294 5555,-34.990189,138.512321,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30317
319,Glenferrie Private Hospital,29 Hilda Crescent,Hawthorn,Vic,3122,03 9009 3800,-37.819459,145.031544,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30318
320,Glengarry Private Hospital,53 Arnisdale Road,Duncraig,WA,6023,08 9447 0111,-31.834253,115.784826,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30319
321,Glenside Health Services,226 Fullarton Road,Glenside,SA,5065,08 7087 1000,-34.943429,138.627714,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30320
322,Gloucester Hospital,166-182 Church Street,Gloucester,NSW,2422,02 6538 5000,-32.014787,151.958556,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30321
323,Gnowangerup Hospital,Yougenup Road,Gnowangerup,WA,6335,08 9827 2222,-33.930469,118.002927,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30322
324,Gold Coast Private Hospital,14 Hill Street,Southport,Qld,4215,07 5530 0300,-27.962084,153.385112,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30323
325,Gold Coast University Hospital,1 Hospital Boulevard,Southport,Qld,4215,07 5687 0000,-27.958896,153.381173,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30324
326,Golf Links Road Rehabilitation Centre,125 Golf Links Road,Frankston,Vic,3199,03 9783 7277,-38.173447,145.149769,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30325
327,Goodooga Health Service,49 Hammond Street,Goodooga,NSW,2831,02 6820 6200,-29.110249,147.456114,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30326
328,Goomalling Hospital,Forrest Street,Goomalling,WA,6460,08 9629 0100,-31.303928,116.831102,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30327
329,Goondiwindi Hospital,Bowen Street,Goondiwindi,Qld,4390,07 4578 2400,-28.547951,150.302302,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30328
330,Gordonvale Hospital,1-11 Highleigh Road,Gordonvale,Qld,4865,07 4043 3100,-17.087337,145.786159,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30329
331,Gosford Hospital,76 Holden Street,Gosford,NSW,2250,02 4320 2111,-33.419451,151.340328,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30330
332,Goulburn Hospital,130 Goldsmith Street,Goulburn,NSW,2580,02 4827 3111,-34.747527,149.712806,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30331
333,Goulburn Valley Health [Shepparton],2 Graham Street,Shepparton,Vic,3630,03 5832 2322,-36.363625,145.404911,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30332
334,Goulburn Valley Health [Tatura],64-68 Park Street,Tatura,Vic,3616,03 5824 8400,-36.439082,145.225535,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30333
335,Goulburn Valley Health [Waranga],14 Coyle Street,Rushworth,Vic,3612,03 5851 8050,-36.587827,145.008593,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30334
